#{"t_start": 1788351415.8851364, "env_id": "None"}
r,l,t
-2229.294235,90,353.766103
-3692.939295,90,354.135111
-3293.672817,90,354.526981
-3126.525281,90,354.852625
-1709.270583,90,355.098298
-3594.210063,90,355.519087
-4640.682597,90,355.96038
-908.716313,90,356.347459
-1255.9051,90,356.687491
-3300.220014,90,357.129765
-1199.163015,90,357.499408
-1716.44634,90,357.843955
-4387.512997,90,358.197699
-1597.782648,90,358.526297
-1156.170119,90,358.846012
-2472.572947,90,359.183525
-2955.451673,90,359.519919
-2724.880378,90,359.783519
-2099.455723,90,360.078184
-1390.23696,90,360.393303
-4548.490951,90,362.557225
-1921.379542,90,363.039459
-2987.698401,90,363.352977
-1657.927035,90,363.685162
-2423.95909,90,364.07378
-3575.875225,90,364.39839
-1503.722812,90,364.692595
-2402.94625,90,365.242226
-2049.728183,90,365.578447
-1861.508864,90,366.014449
-2874.960225,90,366.367204
-2920.414765,90,366.753222
-1286.972888,90,367.12395
-3447.469566,90,367.466381
-772.885481,90,367.816383
-2112.442169,90,368.116749
-3181.16232,90,368.417279
-1561.083525,90,368.748186
-1956.3616,90,369.233578
-2700.213675,90,369.558132
-1914.198365,90,369.939773
-1149.014237,90,370.304523
-1609.917644,90,370.640974
-3917.732326,90,372.508044
-1906.114822,90,372.886593
-3263.194136,90,373.179423
-2494.536919,90,373.527758
-1368.387279,90,373.820405
-2092.05329,90,374.115427
-4482.822869,90,374.502864
-1915.689152,90,374.842351
-3563.06177,90,375.180851
-2599.814719,90,375.490797
-2903.315189,90,375.889958
-2441.829421,90,376.309649
-1552.134006,90,376.575923
-2414.685537,90,376.894163
-1074.063824,90,377.130375
-2286.577644,90,377.450291
-860.424214,90,377.734089
-2134.424978,90,377.991423
-2434.839908,90,378.383446
-1684.142609,90,378.666759
-3024.781306,90,379.045614
-2208.494077,90,379.37878
-3111.523477,90,379.714606
-1106.043265,90,381.481781
-4020.881726,90,381.810184
-1415.254027,90,382.156934
-2243.824428,90,382.472563
-1716.248035,90,382.814025
-3360.975437,90,383.168559
-2943.158256,90,383.505822
-993.276634,90,383.774343
-2622.031651,90,384.114125
-1879.728452,90,384.498945
-4771.857684,90,384.901373
-3982.241608,90,385.33643
-2399.988469,90,385.747923
-1641.679734,90,386.051803
-1676.456165,90,386.333165
-2421.111857,90,386.633155
-1557.581963,90,386.882254
-3262.503173,90,387.264704
-1494.458728,90,387.550947
-4092.46177,90,387.962018
-2171.023926,90,388.408883
-2917.238583,90,388.7538
-2858.583279,90,389.158383
